mol,Cmpd Name,AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)Oc1cc2c([nH]c(C(=O)N3CC(NC(=O)c4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3979,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1cc2c([nH]c(C(=O)NC3CN(C(=O)c4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3982,13174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)[nH]c2c1cc(Cl)cc2,JSF-3380,13233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)n[nH]c2cc1)CCCC,JSF-3217,23002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)n[nH]c2cc1)CCCCF,JSF-3285,59322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)n[nH]c2cc1)CCCCC,JSF-3286,13942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1n[nH]c2c1cc(NS(=O)(=O)CCCC)cc2,JSF-3336,51745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)c1cc(CCC2CN(C(=O)c3n4c(nc3)C=CC=C4)CCC2)ccc1,JSF-4115,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(CC)c1ncc(CN2CCN(c3oc4c(n3)cccc4)CC2)cn1,JSF-4116,5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N3CCOCC3)nc(NC3(C)CCC3)c2)cc1,JSF-4107,4847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N3CCOCC3)nc(NC3CC3)c2)cc1,JSF-4090,6815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NC(C)(C)c2ccc(COc3ccc(OC)cc3)cc2)cc1,JSF-4086,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NC(C)(C)c2ccc(COc3c(OC)cccc3)cc2)cc1,JSF-4088,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(CCC(=O)c2c(O)cc(O)cc2[O-])cc1,JSF-2495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(CCC(=O)C2C(=O)C(CCC)(CCC)C(=O)C(CCC)C2=O)cc1,JSF-2622,37243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1scc(-c2ncccc2)n1)Cc1cc(C)ccc1,JSF-2458,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1scc(-c2ncccc2)n1)Cc1ccc(C)cc1,JSF-2459,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C#N)[nH]c2cc1)CCCC(F)(F)F,JSF-3504,4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(Nc3ccc(N4CCCCCC4)cc3)nc(N3CCOCC3)n2)cc1,JSF-3194,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
